sample_id,latency_ms,jitter_ms,packet_loss_pct,throughput_mbps,network_type,qos_class,recommended_apps
19,37.3,3.8,0.23,124.9,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
20,22.0,3.6,0.11,105.7,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
21,29.3,3.4,0.3,58.8,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
22,25.9,2.8,0.02,67.7,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
23,24.8,2.7,0.11,94.9,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
24,19.2,6.5,0.01,84.0,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
25,18.4,4.2,0.3,95.5,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
26,17.2,5.2,0.1,139.7,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
27,33.5,4.7,0.23,61.9,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
28,34.0,6.2,0.09,83.3,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
29,32.2,5.4,0.43,84.1,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
30,15.7,4.0,0.31,109.5,Fiber Broadband,GOOD,"Cloud Gaming, 4K Stream, Team Calls"
31,31.7,6.4,0.11,135.5,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
32,32.2,3.3,0.36,197.6,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
33,31.1,7.2,0.32,187.6,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
34,22.2,4.8,0.45,130.4,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
35,32.8,3.9,0.36,128.5,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
36,18.2,3.3,0.35,89.3,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
37,19.6,7.5,0.24,195.9,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
38,24.1,5.2,0.59,219.7,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
39,26.7,3.1,0.22,238.4,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
40,29.9,6.7,0.25,233.1,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
41,30.3,5.2,0.14,249.2,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
42,21.5,5.1,0.59,85.1,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
43,26.4,7.4,0.19,209.6,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
44,24.0,4.2,0.34,166.4,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
45,29.7,5.5,0.53,101.4,5G Ultra Wideband,GOOD,"Live Streaming, Cloud Gaming, 4K"
46,31.4,6.5,0.4,62.8,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
47,26.2,5.2,0.59,41.9,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
48,34.0,5.7,0.33,70.5,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
49,36.5,4.7,0.36,88.7,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
50,33.0,7.9,0.31,64.2,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
51,26.2,6.5,0.39,41.2,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
52,38.8,5.4,0.61,42.4,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
53,30.6,8.7,0.59,57.1,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
54,42.2,8.9,0.72,50.1,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
55,42.4,7.8,0.72,70.4,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
56,41.2,7.5,0.55,59.3,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
57,32.7,4.8,0.74,51.8,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
58,40.1,6.5,0.69,72.4,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
59,38.3,7.5,0.72,67.8,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
60,34.8,8.2,0.59,44.2,5G Sub-6,GOOD,"4K Streaming, VoIP, Online Multiplayer"
61,24.8,5.7,0.06,177.3,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
62,31.6,4.5,0.18,92.6,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
63,16.5,3.2,0.02,154.3,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
64,28.6,4.0,0.08,98.6,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
65,22.7,4.0,0.04,91.3,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
66,13.8,2.7,0.09,102.5,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
67,23.3,3.0,0.23,121.2,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
68,31.8,2.8,0.22,176.4,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
69,30.3,5.4,0.3,163.7,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
70,16.5,5.1,0.06,94.9,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
71,28.7,4.6,0.37,133.5,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
72,21.5,5.8,0.13,118.8,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
73,28.9,2.8,0.04,188.7,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
74,13.9,4.2,0.17,143.0,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
75,25.9,4.3,0.31,194.2,Wi-Fi 6 (Low Load),GOOD,"Cloud Gaming, HD Video, Fast DL"
76,73.6,15.1,1.15,22.1,4G LTE Standard,MEDIUM,"1080p Video, Web, Standard Calls"
77,69.5,13.2,1.38,15.3,4G LTE Standard,MEDIUM,"1080p Video, Web, Standard Calls"
78,82.8,11.8,1.48,22.9,4G LTE Standard,MEDIUM,"1080p Video, Web, Standard Calls"
79,64.2,11.3,1.91,19.3,4G LTE Standard,MEDIUM,"1080p Video, Web, Standard Calls"
80,74.9,13.9,2.18,24.1,4G LTE Standard,MEDIUM,"1080p Video, Web, Standard Calls"
81,85.4,17.8,2.02,17.4,4G LTE Standard,MEDIUM,"1080p Video, Web, Standard Calls"
82,75.1,16.1,1.71,24.2,4G LTE Standard,MEDIUM,"1080p Video, Web, Standard Calls"
83,82.9,11.4,1.43,26.4,4G LTE Standard,MEDIUM,"1080p Video, Web, Standard Calls"
84,62.8,17.6,1.4,12.7,4G LTE Standard,MEDIUM,"1080p Video, Web, Standard Calls"
85,91.8,16.8,1.63,22.8,4G LTE Standard,MEDIUM,"1080p Video, Web, Standard Calls"
86,81.4,13.5,1.94,22.7,4G LTE Standard,MEDIUM,"1080p Video, Web, Standard Calls"
87,57.1,12.1,1.86,21.5,4G LTE Standard,MEDIUM,"1080p Video, Web, Standard Calls"
88,57.9,12.8,1.01,21.1,4G LTE Standard,MEDIUM,"1080p Video, Web, Standard Calls"
89,68.9,15.5,1.52,29.1,Wi-Fi (Multi-User),MEDIUM,"Zoom Calls, YouTube 1080p, Web"
90,51.8,12.9,2.44,19.2,Wi-Fi (Multi-User),MEDIUM,"Zoom Calls, YouTube 1080p, Web"
91,65.8,18.8,1.3,27.1,Wi-Fi (Multi-User),MEDIUM,"Zoom Calls, YouTube 1080p, Web"
92,60.6,18.5,1.26,16.3,Wi-Fi (Multi-User),MEDIUM,"Zoom Calls, YouTube 1080p, Web"
93,66.1,13.2,1.35,31.7,Wi-Fi (Multi-User),MEDIUM,"Zoom Calls, YouTube 1080p, Web"
94,76.5,18.9,2.23,26.7,Wi-Fi (Multi-User),MEDIUM,"Zoom Calls, YouTube 1080p, Web"
95,67.1,11.4,1.33,31.2,Wi-Fi (Multi-User),MEDIUM,"Zoom Calls, YouTube 1080p, Web"
96,73.1,11.3,1.9,19.3,Wi-Fi (Multi-User),MEDIUM,"Zoom Calls, YouTube 1080p, Web"
97,80.7,19.2,1.16,21.9,Wi-Fi (Multi-User),MEDIUM,"Zoom Calls, YouTube 1080p, Web"
98,63.9,18.5,1.75,27.3,Wi-Fi (Multi-User),MEDIUM,"Zoom Calls, YouTube 1080p, Web"
99,84.1,14.6,2.02,29.2,Wi-Fi (Multi-User),MEDIUM,"Zoom Calls, YouTube 1080p, Web"
100,53.4,14.5,2.46,16.1,Wi-Fi (Multi-User),MEDIUM,"Zoom Calls, YouTube 1080p, Web"
101,65.1,17.4,1.48,15.5,Wi-Fi (Multi-User),MEDIUM,"Zoom Calls, YouTube 1080p, Web"
102,106.3,14.7,2.2,18.2,VDSL / Cable,MEDIUM,"Video Meetings, Buffered Streaming"
103,101.4,21.1,1.93,12.7,VDSL / Cable,MEDIUM,"Video Meetings, Buffered Streaming"
104,78.2,12.9,1.48,14.6,VDSL / Cable,MEDIUM,"Video Meetings, Buffered Streaming"
105,80.9,16.3,2.44,12.2,VDSL / Cable,MEDIUM,"Video Meetings, Buffered Streaming"
106,75.4,16.8,1.45,21.7,VDSL / Cable,MEDIUM,"Video Meetings, Buffered Streaming"
107,105.8,18.8,1.76,21.1,VDSL / Cable,MEDIUM,"Video Meetings, Buffered Streaming"
108,103.8,16.1,2.04,13.2,VDSL / Cable,MEDIUM,"Video Meetings, Buffered Streaming"
109,79.5,18.7,1.52,15.2,VDSL / Cable,MEDIUM,"Video Meetings, Buffered Streaming"
110,61.9,20.8,1.99,10.6,VDSL / Cable,MEDIUM,"Video Meetings, Buffered Streaming"
111,94.9,21.9,1.6,21.7,VDSL / Cable,MEDIUM,"Video Meetings, Buffered Streaming"
112,65.5,14.9,2.46,16.8,VDSL / Cable,MEDIUM,"Video Meetings, Buffered Streaming"
113,87.6,18.2,1.26,11.2,VDSL / Cable,MEDIUM,"Video Meetings, Buffered Streaming"
114,84.4,12.4,2.5,19.3,VDSL / Cable,MEDIUM,"Video Meetings, Buffered Streaming"
115,138.8,16.5,2.15,9.4,4G Edge Cell,MEDIUM,"720p Video, Social Media, Audio"
116,91.3,18.9,2.69,7.6,4G Edge Cell,MEDIUM,"720p Video, Social Media, Audio"
117,117.9,16.5,2.15,10.2,4G Edge Cell,MEDIUM,"720p Video, Social Media, Audio"
118,100.8,17.4,1.47,15.4,4G Edge Cell,MEDIUM,"720p Video, Social Media, Audio"
119,89.5,22.1,2.52,11.0,4G Edge Cell,MEDIUM,"720p Video, Social Media, Audio"
120,95.5,20.6,1.41,12.9,4G Edge Cell,MEDIUM,"720p Video, Social Media, Audio"
121,94.4,23.3,1.67,11.0,4G Edge Cell,MEDIUM,"720p Video, Social Media, Audio"
122,126.3,21.1,2.83,12.0,4G Edge Cell,MEDIUM,"720p Video, Social Media, Audio"
123,80.3,15.9,2.46,10.6,4G Edge Cell,MEDIUM,"720p Video, Social Media, Audio"
124,115.9,14.7,2.8,14.5,4G Edge Cell,MEDIUM,"720p Video, Social Media, Audio"
125,83.9,23.9,2.54,16.8,4G Edge Cell,MEDIUM,"720p Video, Social Media, Audio"
126,110.1,20.9,1.75,8.8,4G Edge Cell,MEDIUM,"720p Video, Social Media, Audio"
127,112.9,22.1,2.02,15.1,4G Edge Cell,MEDIUM,"720p Video, Social Media, Audio"
128,142.9,23.5,1.77,15.4,Rural Fixed Wireless,MEDIUM,"Web Browsing, Standard Video"
129,142.1,23.5,2.48,9.7,Rural Fixed Wireless,MEDIUM,"Web Browsing, Standard Video"
130,96.6,22.6,2.06,12.9,Rural Fixed Wireless,MEDIUM,"Web Browsing, Standard Video"
131,104.9,21.2,2.45,17.2,Rural Fixed Wireless,MEDIUM,"Web Browsing, Standard Video"
132,109.8,16.2,1.74,10.3,Rural Fixed Wireless,MEDIUM,"Web Browsing, Standard Video"
133,121.2,23.1,1.55,10.3,Rural Fixed Wireless,MEDIUM,"Web Browsing, Standard Video"
134,138.8,15.8,1.64,15.7,Rural Fixed Wireless,MEDIUM,"Web Browsing, Standard Video"
135,138.1,22.3,1.96,16.1,Rural Fixed Wireless,MEDIUM,"Web Browsing, Standard Video"
136,134.3,24.4,2.94,8.1,Rural Fixed Wireless,MEDIUM,"Web Browsing, Standard Video"
137,126.8,15.4,2.37,10.6,Rural Fixed Wireless,MEDIUM,"Web Browsing, Standard Video"
138,111.4,20.5,2.23,10.7,Rural Fixed Wireless,MEDIUM,"Web Browsing, Standard Video"
139,122.0,17.4,2.33,18.0,Rural Fixed Wireless,MEDIUM,"Web Browsing, Standard Video"
140,111.7,21.1,1.83,16.5,Rural Fixed Wireless,MEDIUM,"Web Browsing, Standard Video"
141,189.5,38.6,6.34,4.2,Congested Public Wi-Fi,BAD,"Basic Web, Text Chat (Frequent Lag)"
142,168.3,31.7,5.55,2.9,Congested Public Wi-Fi,BAD,"Basic Web, Text Chat (Frequent Lag)"
143,198.8,32.2,4.89,4.4,Congested Public Wi-Fi,BAD,"Basic Web, Text Chat (Frequent Lag)"
144,188.1,44.9,4.72,3.3,Congested Public Wi-Fi,BAD,"Basic Web, Text Chat (Frequent Lag)"
145,213.6,35.6,6.34,3.7,Congested Public Wi-Fi,BAD,"Basic Web, Text Chat (Frequent Lag)"
146,183.1,39.3,5.2,1.3,Congested Public Wi-Fi,BAD,"Basic Web, Text Chat (Frequent Lag)"
147,192.5,41.4,4.79,4.1,Congested Public Wi-Fi,BAD,"Basic Web, Text Chat (Frequent Lag)"
148,198.4,32.4,5.92,1.5,Congested Public Wi-Fi,BAD,"Basic Web, Text Chat (Frequent Lag)"
149,157.9,35.7,7.17,3.1,Congested Public Wi-Fi,BAD,"Basic Web, Text Chat (Frequent Lag)"
150,179.9,32.2,4.71,4.5,Congested Public Wi-Fi,BAD,"Basic Web, Text Chat (Frequent Lag)"
151,192.4,33.3,4.64,1.4,Congested Public Wi-Fi,BAD,"Basic Web, Text Chat (Frequent Lag)"
152,190.2,44.2,5.24,1.8,Congested Public Wi-Fi,BAD,"Basic Web, Text Chat (Frequent Lag)"
153,694.0,50.1,4.47,4.3,Legacy Geostationary Satellite,BAD,"Buffered Web, Email Only"
154,676.1,41.9,4.41,9.0,Legacy Geostationary Satellite,BAD,"Buffered Web, Email Only"
155,599.5,33.9,5.71,6.8,Legacy Geostationary Satellite,BAD,"Buffered Web, Email Only"
156,483.5,40.1,5.32,9.7,Legacy Geostationary Satellite,BAD,"Buffered Web, Email Only"
157,690.6,44.3,5.32,2.3,Legacy Geostationary Satellite,BAD,"Buffered Web, Email Only"
158,546.6,56.7,3.37,6.3,Legacy Geostationary Satellite,BAD,"Buffered Web, Email Only"
159,629.4,42.8,3.58,7.3,Legacy Geostationary Satellite,BAD,"Buffered Web, Email Only"
160,563.8,42.3,5.39,7.5,Legacy Geostationary Satellite,BAD,"Buffered Web, Email Only"
161,643.0,30.3,4.41,5.8,Legacy Geostationary Satellite,BAD,"Buffered Web, Email Only"
162,693.4,41.7,3.84,4.2,Legacy Geostationary Satellite,BAD,"Buffered Web, Email Only"
163,556.7,46.7,4.14,2.5,Legacy Geostationary Satellite,BAD,"Buffered Web, Email Only"
164,685.2,58.8,4.75,7.9,Legacy Geostationary Satellite,BAD,"Buffered Web, Email Only"
165,190.9,41.8,5.19,1.4,3G / Degraded Cellular,BAD,"Low-Res Audio, Text Messaging"
166,233.1,36.5,7.0,1.9,3G / Degraded Cellular,BAD,"Low-Res Audio, Text Messaging"
167,235.2,30.8,4.45,1.2,3G / Degraded Cellular,BAD,"Low-Res Audio, Text Messaging"
168,172.0,31.7,7.84,2.1,3G / Degraded Cellular,BAD,"Low-Res Audio, Text Messaging"
169,190.0,38.2,4.89,1.9,3G / Degraded Cellular,BAD,"Low-Res Audio, Text Messaging"
170,186.0,34.0,5.88,2.7,3G / Degraded Cellular,BAD,"Low-Res Audio, Text Messaging"
171,210.8,37.3,6.86,2.3,3G / Degraded Cellular,BAD,"Low-Res Audio, Text Messaging"
172,254.4,32.3,7.69,1.0,3G / Degraded Cellular,BAD,"Low-Res Audio, Text Messaging"
173,197.8,28.6,8.22,3.3,3G / Degraded Cellular,BAD,"Low-Res Audio, Text Messaging"
174,183.1,38.6,5.36,1.4,3G / Degraded Cellular,BAD,"Low-Res Audio, Text Messaging"
175,202.9,36.7,4.18,1.4,3G / Degraded Cellular,BAD,"Low-Res Audio, Text Messaging"
176,234.3,37.1,7.21,3.4,3G / Degraded Cellular,BAD,"Low-Res Audio, Text Messaging"
177,243.6,39.3,5.65,1.6,Packet Storm / Bufferbloat,BAD,"Severely Impaired (Dropped Packets)"
178,212.8,39.6,9.58,2.1,Packet Storm / Bufferbloat,BAD,"Severely Impaired (Dropped Packets)"
179,301.6,40.1,7.99,3.7,Packet Storm / Bufferbloat,BAD,"Severely Impaired (Dropped Packets)"
180,240.2,46.1,10.65,2.1,Packet Storm / Bufferbloat,BAD,"Severely Impaired (Dropped Packets)"
181,257.6,36.4,11.23,3.8,Packet Storm / Bufferbloat,BAD,"Severely Impaired (Dropped Packets)"
182,319.4,45.8,11.73,3.9,Packet Storm / Bufferbloat,BAD,"Severely Impaired (Dropped Packets)"
183,231.7,48.2,11.08,3.9,Packet Storm / Bufferbloat,BAD,"Severely Impaired (Dropped Packets)"
184,289.4,49.2,9.36,3.7,Packet Storm / Bufferbloat,BAD,"Severely Impaired (Dropped Packets)"
185,253.9,36.8,7.44,2.4,Packet Storm / Bufferbloat,BAD,"Severely Impaired (Dropped Packets)"
186,220.6,45.6,8.23,2.5,Packet Storm / Bufferbloat,BAD,"Severely Impaired (Dropped Packets)"
187,248.8,42.5,10.87,1.8,Packet Storm / Bufferbloat,BAD,"Severely Impaired (Dropped Packets)"
188,299.7,47.1,7.86,2.1,Packet Storm / Bufferbloat,BAD,"Severely Impaired (Dropped Packets)"
189,206.5,41.9,6.72,1.8,Extreme Range Wi-Fi,BAD,"Connection Dropouts, Text Only"
190,172.9,46.0,8.71,2.0,Extreme Range Wi-Fi,BAD,"Connection Dropouts, Text Only"
191,241.6,45.5,5.63,1.3,Extreme Range Wi-Fi,BAD,"Connection Dropouts, Text Only"
192,207.2,40.5,6.47,1.7,Extreme Range Wi-Fi,BAD,"Connection Dropouts, Text Only"
193,246.3,47.1,4.47,2.2,Extreme Range Wi-Fi,BAD,"Connection Dropouts, Text Only"
194,271.7,46.1,4.52,2.3,Extreme Range Wi-Fi,BAD,"Connection Dropouts, Text Only"
195,212.8,42.7,6.88,2.7,Extreme Range Wi-Fi,BAD,"Connection Dropouts, Text Only"
196,177.5,41.2,8.96,1.4,Extreme Range Wi-Fi,BAD,"Connection Dropouts, Text Only"
197,273.7,44.9,8.51,2.8,Extreme Range Wi-Fi,BAD,"Connection Dropouts, Text Only"
198,221.7,35.9,7.66,2.6,Extreme Range Wi-Fi,BAD,"Connection Dropouts, Text Only"
199,234.3,45.7,8.23,2.8,Extreme Range Wi-Fi,BAD,"Connection Dropouts, Text Only"
200,224.2,47.3,7.57,2.6,Extreme Range Wi-Fi,BAD,"Connection Dropouts, Text Only"
